State,Action,QValue
HPState: 2; ManaState: 0; LevelState: 2,DivineSmite(Skelleton1),23.3048
HPState: 2; ManaState: 0; LevelState: 2,LevelUp,34.91585
HPState: 2; ManaState: 0; LevelState: 2,DivineSmite(Skelleton4),19.52893
HPState: 2; ManaState: 0; LevelState: 2,DivineSmite(Skelleton2),4.965285
HPState: 2; ManaState: 0; LevelState: 2,DivineSmite(Skelleton0),3.525692
HPState: 1; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion0),-0.7722826
HPState: 1; ManaState: 0; LevelState: 2,PickUpChest(Chest4),-32.47448
HPState: 1; ManaState: 0; LevelState: 2,PickUpChest(Chest1),-4.88936
HPState: 1; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion0),-17.25108
HPState: 1; ManaState: 0; LevelState: 2,PickUpChest(Chest2),7.237867
HPState: 1; ManaState: 0; LevelState: 2,PickUpChest(Chest3),-8.301702
HPState: 1; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion1),-20.91777
HPState: 1; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion1),-8.882363
HPState: 1; ManaState: 0; LevelState: 2,PickUpChest(Chest0),11.20964
HPState: 1; ManaState: 0; LevelState: 2,DivineSmite(Skelleton2),-4.641473
HPState: 1; ManaState: 0; LevelState: 2,LevelUp,15.30914
HPState: 1; ManaState: 0; LevelState: 2,DivineSmite(Skelleton3),-6.77904
HPState: 1; ManaState: 0; LevelState: 2,DivineSmite(Skelleton4),-0.1491835
HPState: 1; ManaState: 0; LevelState: 2,DivineSmite(Skelleton0),0.3532055
HPState: 1; ManaState: 0; LevelState: 2,DivineSmite(Skelleton1),-3.598105
HPState: 1; ManaState: 7; LevelState: 2,PickUpChest(Chest4),-42.41246
HPState: 1; ManaState: 7; LevelState: 2,PickUpChest(Chest0),-7.058925
HPState: 1; ManaState: 7; LevelState: 2,Teleport,1.819303
HPState: 1; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion0),-12.71507
HPState: 1; ManaState: 7; LevelState: 2,PickUpChest(Chest3),-18.19462
HPState: 1; ManaState: 7; LevelState: 2,PickUpChest(Chest1),-11.22529
HPState: 1; ManaState: 7; LevelState: 2,DivineSmite(Skelleton2),-0.9216984
HPState: 1; ManaState: 7; LevelState: 2,ShieldOfFaith,14.96368
HPState: 1; ManaState: 7; LevelState: 2,DivineSmite(Skelleton4),-4.417665
HPState: 1; ManaState: 7; LevelState: 2,DivineSmite(Skelleton1),-8.867918
HPState: 1; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion1),-3.154991
HPState: 1; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion1),-9.202837
HPState: 1; ManaState: 7; LevelState: 2,PickUpChest(Chest2),-11.78756
HPState: 1; ManaState: 7; LevelState: 2,DivineSmite(Skelleton3),-2.961019
HPState: 1; ManaState: 7; LevelState: 2,LevelUp,-0.933026
HPState: 1; ManaState: 7; LevelState: 2,DivineSmite(Skelleton0),-4.724179
HPState: 1; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion0),-0.9539544
HPState: 0; ManaState: 7; LevelState: 1,PickUpChest(Chest2),0.4521032
HPState: 0; ManaState: 7; LevelState: 1,PickUpChest(Chest1),-22.98508
HPState: 0; ManaState: 7; LevelState: 1,PickUpChest(Chest4),-43.50582
HPState: 0; ManaState: 7; LevelState: 1,GetManaPotion(ManaPotion1),-3.846118
HPState: 0; ManaState: 7; LevelState: 1,PickUpChest(Chest3),-23.44219
HPState: 0; ManaState: 7; LevelState: 1,ShieldOfFaith,14.60643
HPState: 0; ManaState: 7; LevelState: 1,GetManaPotion(ManaPotion0),-4.219396
HPState: 0; ManaState: 7; LevelState: 1,DivineSmite(Skelleton4),-5.549583
HPState: 0; ManaState: 7; LevelState: 1,DivineSmite(Skelleton2),-11.6842
HPState: 0; ManaState: 7; LevelState: 1,DivineSmite(Skelleton3),-7.341733
HPState: 0; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion1),-5.89078
HPState: 0; ManaState: 7; LevelState: 1,LevelUp,-12.41574
HPState: 0; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion0),-19.66806
HPState: 0; ManaState: 7; LevelState: 1,PickUpChest(Chest0),-6.769707
HPState: 0; ManaState: 7; LevelState: 1,DivineSmite(Skelleton0),-7.879906
HPState: 0; ManaState: 7; LevelState: 1,DivineSmite(Skelleton1),-7.9737
HPState: 13; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion1),0.3988222
HPState: 13; ManaState: 0; LevelState: 1,DivineSmite(Skelleton3),-0.7624158
HPState: 13; ManaState: 0; LevelState: 1,PickUpChest(Chest0),2.686456
HPState: 13; ManaState: 0; LevelState: 1,PickUpChest(Chest4),4.236264
HPState: 13; ManaState: 0; LevelState: 1,PickUpChest(Chest2),1.776369
HPState: 13; ManaState: 0; LevelState: 1,DivineSmite(Skelleton4),1.644909
HPState: 13; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion0),-0.3666151
HPState: 13; ManaState: 0; LevelState: 1,LevelUp,8.757398
HPState: 13; ManaState: 0; LevelState: 1,PickUpChest(Chest1),17.54981
HPState: 13; ManaState: 0; LevelState: 1,PickUpChest(Chest3),6.258716
HPState: 13; ManaState: 0; LevelState: 1,DivineSmite(Skelleton2),-0.1960265
HPState: 13; ManaState: 0; LevelState: 1,DivineSmite(Skelleton1),2.235463
HPState: 13; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion0),-0.8964777
